product_no,store,supplier,product_description,product_division,product_category,product_subcategory,product_segment,sales_channel,total_gross_sales,total_returns,total_net_sales,total_cogs,total_gross_profit,total_qty_sold,total_transactions,current_qty_on_hand,current_inventory_value_at_cost,current_inventory_value_at_retail,inventory_data_issue_flag,gross_margin_pct,fast_moving_flag,slow_moving_flag,stockout_risk_flag,overstock_risk_flag
PROD-100043,STR-1305,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.1,91.9,1.0,1,1.0,68.1,160.0,0.0,0.5743750000000001,0,1,0,1
PROD-100043,STR-1335,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,134.76,185.24,2.0,2,1.0,67.39,160.0,0.0,0.578875,0,0,0,0
PROD-100043,STR-1338,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,143.07,176.93,2.0,2,1.0,71.53,160.0,0.0,0.55290625,0,0,0,0
PROD-100043,STR-1344,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.96,92.04,1.0,1,0.0,0.0,0.0,0.0,0.57525,0,1,0,1
PROD-100043,STR-1348,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.1,91.9,1.0,1,1.0,68.1,160.0,0.0,0.5743750000000001,0,1,0,1
PROD-100043,STR-1350,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,256.0,0.0,256.0,135.78,120.22,2.0,2,0.0,0.0,0.0,0.0,0.469609375,0,0,0,0
PROD-100044,STR-1006,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,137.47,182.53,2.0,2,1.0,67.61,160.0,0.0,0.57040625,0,0,0,0
PROD-100044,STR-1010,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,800.0,0.0,800.0,340.09999999999997,459.90000000000003,5.0,5,3.0,204.05,480.0,0.0,0.574875,1,0,0,0
PROD-100044,STR-1044,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,138.28,181.72,2.0,2,1.0,69.14,160.0,0.0,0.567875,0,0,0,0
PROD-100044,STR-1074,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,112.0,0.0,112.0,67.99,44.010000000000005,1.0,1,1.0,67.99,160.0,0.0,0.39294642857142864,0,1,0,1
PROD-100044,STR-1194,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,480.0,0.0,480.0,211.5,268.5,3.0,3,1.0,70.5,160.0,0.0,0.559375,1,0,0,0
PROD-100044,STR-1219,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.8,92.2,1.0,1,4.0,275.06,640.0,0.0,0.57625,0,1,0,1
PROD-100044,STR-1222,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,640.0,0.0,640.0,272.4,367.6,4.0,4,0.0,0.0,0.0,0.0,0.5743750000000001,1,0,1,0
PROD-100044,STR-1229,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.28,91.72,1.0,1,3.0,204.85,480.0,0.0,0.57325,0,1,0,1
PROD-100044,STR-1255,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.84,92.16,1.0,1,3.0,203.52,480.0,0.0,0.576,0,1,0,1
PROD-100044,STR-1305,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.1,91.9,1.0,1,2.0,136.2,320.0,0.0,0.5743750000000001,0,1,0,1
PROD-100044,STR-1338,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,71.53,88.47,1.0,1,0.0,0.0,0.0,0.0,0.5529375,0,1,0,1
PROD-100044,STR-1348,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.1,91.9,1.0,1,0.0,0.0,0.0,0.0,0.5743750000000001,0,1,0,1
PROD-100044,STR-1353,Vendor 0064,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.32,92.68,1.0,1,0.0,0.0,0.0,0.0,0.57925,0,1,0,1
PROD-100045,STR-1006,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,480.0,0.0,480.0,206.20999999999998,273.79,3.0,3,2.0,135.21,320.0,0.0,0.5703958333333333,1,0,0,0
PROD-100045,STR-1010,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.02,91.98,1.0,1,1.0,68.02,160.0,0.0,0.574875,0,1,0,1
PROD-100045,STR-1026,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,69.01,90.99,1.0,1,0.0,0.0,0.0,0.0,0.5686875,0,1,0,1
PROD-100045,STR-1044,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,160.0,160.0,69.14,90.86,1.0,3,1.0,69.14,160.0,0.0,0.567875,0,1,0,1
PROD-100045,STR-1075,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,77.55,82.45,1.0,1,0.0,0.0,0.0,0.0,0.5153125000000001,0,1,0,1
PROD-100045,STR-1198,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,160.0,0.0,0.0,0.0,0.0,2,1.0,68.78,160.0,0.0,0.0,0,1,0,1
PROD-100045,STR-1203,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,136.0,0.0,136.0,67.1,68.9,1.0,1,0.0,0.0,0.0,0.0,0.5066176470588236,0,1,0,1
PROD-100045,STR-1219,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,160.0,160.0,67.79,92.21,1.0,3,2.0,137.53,320.0,0.0,0.5763125,0,1,0,1
PROD-100045,STR-1348,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,368.0,0.0,368.0,204.29999999999998,163.70000000000002,3.0,3,0.0,0.0,0.0,0.0,0.44483695652173916,1,0,1,0
PROD-100045,STR-1350,Vendor 0064,PROD-189474 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,135.76999999999998,184.23000000000002,2.0,2,0.0,0.0,0.0,0.0,0.5757187500000001,0,0,0,0
PROD-100051,STR-1006,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.54,89.46,1.0,1,1.0,70.53,160.0,0.0,0.559125,0,1,0,1
PROD-100051,STR-1010,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,139.51,180.49,2.0,2,0.0,0.0,0.0,0.0,0.56403125,0,0,0,0
PROD-100051,STR-1194,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,141.0,179.0,2.0,2,0.0,0.0,0.0,0.0,0.559375,0,0,0,0
PROD-100051,STR-1219,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.51,89.49,1.0,1,2.0,141.03,320.0,0.0,0.5593125,0,1,0,1
PROD-100051,STR-1222,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.51,89.49,1.0,1,0.0,-0.01,0.0,1.0,0.5593125,0,1,0,1
PROD-100051,STR-1305,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,160.0,160.0,70.50000000000001,89.49999999999999,1.0,3,3.0,211.56,480.0,0.0,0.559375,0,1,0,1
PROD-100051,STR-1348,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.52,89.48,1.0,1,0.0,0.0,0.0,0.0,0.55925,0,1,0,1
PROD-100051,STR-1353,Vendor 0064,PROD-189481 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.52,89.48,1.0,1,1.0,70.53,160.0,0.0,0.55925,0,1,0,1
PROD-100052,STR-1010,Vendor 0064,PROD-189475 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,800.0,0.0,800.0,348.78000000000003,451.21999999999997,5.0,5,1.0,69.75,160.0,0.0,0.564025,1,0,0,0
PROD-100052,STR-1026,Vendor 0064,PROD-189475 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.5,89.5,1.0,1,0.0,0.0,0.0,0.0,0.559375,0,1,0,1
PROD-100052,STR-1194,Vendor 0064,PROD-189475 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,320.0,0.0,320.0,141.0,179.0,2.0,2,1.0,70.5,160.0,0.0,0.559375,0,0,0,0
PROD-100052,STR-1222,Vendor 0064,PROD-189475 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.51,89.49,1.0,1,1.0,70.51,160.0,0.0,0.5593125,0,1,0,1
PROD-100052,STR-1255,Vendor 0064,PROD-189475 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.3,89.7,1.0,1,0.0,0.0,0.0,0.0,0.560625,0,1,0,1
PROD-100052,STR-1350,Vendor 0064,PROD-189475 SEG-520542 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520542 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.45,89.55,1.0,1,0.0,0.0,0.0,0.0,0.5596875,0,1,0,1
PROD-100353,STR-1006,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,399.96,0.0,399.96,295.6,104.36,5.0,4,0.0,0.0,0.0,0.0,0.2609260926092609,1,0,1,0
PROD-100353,STR-1010,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,0.0,67.99,-67.99,-59.16,-8.829999999999998,-1.0,1,0.0,0.02,0.0,0.0,0.0,0,1,0,1
PROD-100353,STR-1026,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,179.98,0.0,179.98,118.26,61.719999999999985,2.0,2,0.0,0.0,0.0,0.0,0.3429269918879875,0,0,0,0
PROD-100353,STR-1038,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,139.98,0.0,139.98,118.16,21.819999999999993,2.0,2,0.0,0.0,0.0,0.0,0.15587941134447775,0,0,0,0
PROD-100353,STR-1044,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,69.99,0.0,69.99,59.13,10.859999999999992,1.0,1,0.0,0.0,0.0,0.0,0.1551650235747963,0,1,0,1
PROD-100353,STR-1074,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,79.99,0.0,79.99,59.26,20.729999999999997,1.0,1,0.0,0.0,0.0,0.0,0.2591573946743343,0,1,0,1
PROD-100353,STR-1075,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,289.96000000000004,0.0,289.96000000000004,236.3,53.659999999999975,4.0,3,0.0,0.0,0.0,0.0,0.1850600082770036,1,0,1,0
PROD-100353,STR-1080,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,79.99,0.0,79.99,59.19,20.799999999999997,1.0,1,0.0,0.0,0.0,0.0,0.2600325040630079,0,1,0,1
PROD-100353,STR-1082,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,129.98,0.0,129.98,118.16,11.82,2.0,2,0.0,0.0,0.0,0.0,0.09093706724111403,0,0,0,0
PROD-100353,STR-1085,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,169.98,0.0,169.98,118.63,51.34999999999999,2.0,2,0.0,0.0,0.0,0.0,0.3020943640428285,0,0,0,0
PROD-100353,STR-1094,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,59.99,0.0,59.99,58.99,1.0,1.0,1,0.0,0.0,0.0,0.0,0.01666944490748458,0,1,0,1
PROD-100353,STR-1105,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,120.0,0.0,120.0,58.95,61.05,1.0,1,0.0,0.0,0.0,0.0,0.5087499999999999,0,1,0,1
PROD-100353,STR-1107,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,309.96,0.0,309.96,236.84,73.11999999999998,4.0,4,0.0,0.0,0.0,0.0,0.2359014066331139,1,0,1,0
PROD-100353,STR-1145,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,159.98,0.0,159.98,118.2,41.77999999999999,2.0,2,0.0,0.0,0.0,0.0,0.2611576447055881,0,0,0,0
PROD-100353,STR-1148,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,709.92,0.0,709.92,530.88,179.03999999999996,9.0,9,0.0,0.0,0.0,0.0,0.2521974306964165,1,0,1,0
PROD-100353,STR-1149,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,120.0,0.0,120.0,59.23,60.77,1.0,1,0.0,0.0,0.0,0.0,0.5064166666666667,0,1,0,1
PROD-100353,STR-1157,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,229.96999999999997,0.0,229.96999999999997,177.66,52.30999999999999,3.0,3,0.0,0.0,0.0,0.0,0.22746445188502845,1,0,1,0
PROD-100353,STR-1163,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,69.99,0.0,69.99,59.19,10.799999999999997,1.0,1,1.0,59.19,120.0,0.0,0.1543077582511787,0,1,0,1
PROD-100353,STR-1194,Vendor 0166,PROD-164489 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear,Femme Footwear Court Casual,Femme Footwear Court Casual Zephyr,SEG-515310 Femme Footwear Court Casual Zephyr,Channel Alpha,399.95,159.98,239.96999999999997,177.10000000000002,62.869999999999976,3.0,7,0.0,0.0,0.0,0.0,0.2619910822186106,1,0,1,0
